episode,episode_reward,mean_reward,method
373,-87.18709700593121,-63.74177958661887,REINFORCE
374,-95.80027173846405,-64.80908829764888,REINFORCE
375,-94.53168685050584,-65.31506752446883,REINFORCE
376,-51.61572062289842,-66.06056063586325,REINFORCE
377,-2.0610540749177915,-62.52724009363977,REINFORCE
378,20.669909944741534,-62.10089418308029,REINFORCE
379,-45.40677937088991,-61.75220961259667,REINFORCE
380,-32.40656826160861,-61.843315049692194,REINFORCE
381,-251.181658255605,-63.66932996667445,REINFORCE
382,-16.05283793494675,-63.80691368486897,REINFORCE
383,2.7632133556248073,-63.51023500606171,REINFORCE
384,-248.30998833229958,-64.24319865369117,REINFORCE
385,-147.26801170252392,-64.40434081314436,REINFORCE
386,-37.34436725499445,-64.54615960458136,REINFORCE
387,-24.18346809524074,-64.10446124365745,REINFORCE
388,-232.16045333628628,-66.39107688345342,REINFORCE
389,-93.84838143005936,-67.09759195158574,REINFORCE
390,35.85018704992504,-67.03394598414403,REINFORCE
391,16.5848180531071,-66.66678228185607,REINFORCE
392,27.422036389855947,-66.29794688952191,REINFORCE
393,-11.501611623012653,-65.91627067836947,REINFORCE
394,-187.73005480440975,-68.40007929949371,REINFORCE
395,-17.92440625626645,-67.90338812674793,REINFORCE
396,7.828457645299963,-66.32136287813408,REINFORCE
397,-58.66815344603532,-66.04747896879596,REINFORCE
398,23.38638486982269,-65.1208684681038,REINFORCE
399,49.035133205149286,-63.29952140013337,REINFORCE
400,-22.67754690998499,-60.155323387836034,REINFORCE
401,-20.9012053880581,-59.89389868223339,REINFORCE
402,10.716435790623834,-59.66853603644367,REINFORCE
403,-89.03603063632845,-59.31646843497422,REINFORCE
404,-87.84915024729476,-59.633856476726415,REINFORCE
405,-197.64147437077963,-61.51713226308324,REINFORCE
406,-21.793961830457874,-61.29691760553052,REINFORCE
407,-287.4979745582528,-64.1009838724526,REINFORCE
408,20.597204435557714,-63.72768983599426,REINFORCE
409,-24.250607312621057,-63.816473753381686,REINFORCE
410,-208.6235025566154,-65.43607675313133,REINFORCE
411,-33.347290911943745,-65.85882221399683,REINFORCE
412,12.659469758346319,-65.77188523453357,REINFORCE
413,4.023913524441468,-65.14938127636802,REINFORCE
414,32.100185166860996,-64.41158776230819,REINFORCE
415,-21.84920329873223,-63.74431922267382,REINFORCE
416,-9.441305067134593,-64.16785042427192,REINFORCE
417,-50.978549056578466,-64.37355246420117,REINFORCE
418,-370.6206377140611,-66.03910751080643,REINFORCE
419,-0.6246513917231558,-65.32761895629133,REINFORCE
420,-5.676067444200399,-65.56686423834937,REINFORCE
421,-371.1329332020258,-66.5289276036474,REINFORCE
422,19.76188699364515,-66.50835509512908,REINFORCE
423,-21.94241892457878,-66.37723829582063,REINFORCE
424,-333.9805002024218,-70.02093269825563,REINFORCE
425,-32.599669430616714,-69.90369030006508,REINFORCE
426,-82.81710948212387,-70.44532545416179,REINFORCE
427,-334.04230685898943,-73.89974526903403,REINFORCE
428,-22.98069740444445,-73.81421206534179,REINFORCE
429,-22.679098587762084,-74.06141160870654,REINFORCE
430,-293.85557364251224,-75.08842867841727,REINFORCE
431,-274.94433047652296,-78.01466100676515,REINFORCE
432,-20.209671216898027,-77.93815763832657,REINFORCE
433,22.78616136508039,-77.83155164888448,REINFORCE
434,-105.70059259555866,-75.93440832883736,REINFORCE
435,-51.257872291817314,-75.82507483197082,REINFORCE
436,-69.93678779998015,-76.75484897863184,REINFORCE
437,-38.41018871638527,-73.78103679840784,REINFORCE
438,-234.81317317949828,-76.35710832444703,REINFORCE
439,-88.34813827351955,-76.86242543932005,REINFORCE
440,-369.9229324175487,-80.69999319874658,REINFORCE
441,-238.2104448071455,-80.13741433604639,REINFORCE
442,0.19823941463974393,-76.79969654697202,REINFORCE
443,47.06565443902699,-76.44319245283761,REINFORCE
444,-296.942777022209,-79.67334600306148,REINFORCE
445,-30.710658456511283,-79.90394802484907,REINFORCE
446,-131.61861132818328,-79.09386271104198,REINFORCE
447,-101.44573497935104,-79.59606161312531,REINFORCE
448,-40.496739597654134,-77.37409961649709,REINFORCE
449,-17.31065209252266,-77.25672823805789,REINFORCE
450,87.33785079161572,-75.83243435712184,REINFORCE
451,-280.910466280973,-78.32240577771498,REINFORCE
452,-177.10542482001608,-79.77270678397909,REINFORCE
453,-44.01597982373638,-80.51508014341783,REINFORCE
454,-82.04315848600159,-79.07594747866048,REINFORCE
455,-142.98379506456675,-80.21054041690012,REINFORCE
456,-62.047390069909014,-78.45843827121901,REINFORCE
457,-211.08106073554205,-78.96913214833734,REINFORCE
458,-123.18139729201678,-80.50069460622458,REINFORCE
459,-75.41805365571581,-81.2856630355065,REINFORCE
460,-118.39816547277613,-83.02363375393647,REINFORCE
461,-111.62329516456242,-83.74814331096839,REINFORCE
462,-204.83473848801367,-85.04614958496924,REINFORCE
463,-217.9166167439403,-87.64119709640556,REINFORCE
464,-76.29344409467846,-87.81386912056125,REINFORCE
465,-196.04204645857803,-88.83005654847207,REINFORCE
466,-76.10315074805825,-88.92967665851354,REINFORCE
467,-94.00460996134194,-89.57583760027113,REINFORCE
468,-82.95237067816576,-89.3376053492931,REINFORCE
469,-188.09861287405397,-91.24295711687066,REINFORCE
470,-50.73581995759428,-91.45626320071538,REINFORCE
471,-44.7040650470971,-91.11063509691769,REINFORCE
472,-134.61742199323803,-91.68625283795654,REINFORCE
473,-325.5732269800495,-94.07011413769774,REINFORCE
474,-46.70855938256581,-93.57919701413874,REINFORCE
475,37.291203077514105,-92.26096811485856,REINFORCE
476,-40.13185779858703,-92.14612948661545,REINFORCE
477,-36.694776824622174,-92.49246671411248,REINFORCE
478,-18.963769976103308,-92.88880351332095,REINFORCE
479,-249.5862782446114,-94.93059850205815,REINFORCE
480,-42.037803967264345,-95.02691085911471,REINFORCE
481,-291.5572646612347,-95.43066692317099,REINFORCE
482,49.65473353095017,-94.77359120851204,REINFORCE
483,33.78769709731316,-94.46334637109514,REINFORCE
484,-9.983044957359397,-92.08007693734575,REINFORCE
485,47.60397441152807,-90.13135707620522,REINFORCE
486,-14.044713878085815,-89.89836054243614,REINFORCE
487,10.273175121807949,-89.55379411026566,REINFORCE
488,-41.21987968893443,-87.64438837379215,REINFORCE
489,-4.086120769502799,-86.74676576718657,REINFORCE
490,30.541894868122313,-86.7998486890046,REINFORCE
491,-307.682704272794,-90.04252391226365,REINFORCE
492,-1.599595513929449,-90.33274023130149,REINFORCE
493,3.7299125054007076,-90.18042499001733,REINFORCE
494,-187.92950984570075,-90.18241954043023,REINFORCE
495,-53.062217298650324,-90.53379765085407,REINFORCE
496,5.094538883273941,-90.56113683847433,REINFORCE
497,-178.36490912454425,-91.75810439525941,REINFORCE
498,54.41663835064452,-91.4478018604512,REINFORCE
499,-2.6116660846230673,-91.96426985334894,REINFORCE
500,-19.918882132940634,-91.93668320557846,REINFORCE
501,-43.834116748672116,-92.16601231918463,REINFORCE
502,41.22025631325904,-91.86097411395828,REINFORCE
503,-160.9536210279208,-92.5801500178742,REINFORCE
504,-11.71872508824302,-91.81884576628367,REINFORCE
505,-29.715037076459495,-90.13958139334046,REINFORCE
506,32.866592721614836,-89.59297584781974,REINFORCE
507,-41.60757364272694,-87.13407183866448,REINFORCE
508,-486.39249442070815,-92.20396882722713,REINFORCE
509,-38.393481265716936,-92.3453975667581,REINFORCE
510,-10.053678048314195,-90.35969932167511,REINFORCE
511,-68.3550710868709,-90.70977712342437,REINFORCE
512,54.86201008335877,-90.28775172017424,REINFORCE
513,-15.003873225542325,-90.47802958767406,REINFORCE
514,1.9994328899019536,-90.77903711044368,REINFORCE
515,-408.6273732095577,-94.64681880955192,REINFORCE
516,21.770806976828926,-94.33469768911229,REINFORCE
517,-14.101199139336465,-93.96592418993987,REINFORCE
